season,circuit,driver,team,grid_position,finish_position
2021,Bahrain Grand Prix,HAM,Mercedes,2,1
2021,Bahrain Grand Prix,VER,Red Bull Racing,1,2
2021,Bahrain Grand Prix,BOT,Mercedes,3,3
2021,Bahrain Grand Prix,NOR,McLaren,7,4
2021,Bahrain Grand Prix,PER,Red Bull Racing,0,5
2021,Bahrain Grand Prix,LEC,Ferrari,4,6
2021,Bahrain Grand Prix,RIC,McLaren,6,7
2021,Bahrain Grand Prix,SAI,Ferrari,8,8
2021,Bahrain Grand Prix,TSU,AlphaTauri,13,9
2021,Bahrain Grand Prix,STR,Aston Martin,10,10
2021,Bahrain Grand Prix,RAI,Alfa Romeo Racing,14,11
2021,Bahrain Grand Prix,GIO,Alfa Romeo Racing,12,12
2021,Bahrain Grand Prix,OCO,Alpine,16,13
2021,Bahrain Grand Prix,RUS,Williams,15,14
2021,Bahrain Grand Prix,VET,Aston Martin,20,15
2021,Bahrain Grand Prix,MSC,Haas F1 Team,18,16
2021,Bahrain Grand Prix,GAS,AlphaTauri,5,17
2021,Bahrain Grand Prix,LAT,Williams,17,18
2021,Bahrain Grand Prix,ALO,Alpine,9,19
2021,Bahrain Grand Prix,MAZ,Haas F1 Team,19,20
2021,Emilia Romagna Grand Prix,VER,Red Bull Racing,3,1
2021,Emilia Romagna Grand Prix,HAM,Mercedes,1,2
2021,Emilia Romagna Grand Prix,NOR,McLaren,7,3
2021,Emilia Romagna Grand Prix,LEC,Ferrari,4,4
2021,Emilia Romagna Grand Prix,SAI,Ferrari,11,5
2021,Emilia Romagna Grand Prix,RIC,McLaren,6,6
2021,Emilia Romagna Grand Prix,GAS,AlphaTauri,5,7
2021,Emilia Romagna Grand Prix,STR,Aston Martin,10,8
2021,Emilia Romagna Grand Prix,OCO,Alpine,9,9
2021,Emilia Romagna Grand Prix,ALO,Alpine,15,10
2021,Emilia Romagna Grand Prix,PER,Red Bull Racing,2,11
2021,Emilia Romagna Grand Prix,TSU,AlphaTauri,20,12
2021,Emilia Romagna Grand Prix,RAI,Alfa Romeo Racing,16,13
